name,company,stock_code,product,market_date,month,ceo,homepage,region,company_eng,code,codename
1차철강제조업,부국철강,26940,철강,2008-10-14,12월,남상규/손일호,http://www.bks.co.kr,광주광역시,부국철강,C,제조업
1차철강제조업,원일특강,12620,특수강,1994-06-28,12월,신용문,http://www.wonilsteel.co.kr,경기도,원일특강,C,제조업
1차철강제조업,신화실업,1770,"석도강판,표면처리강판제조,임가공,판매",1988-11-23,12월,신종호,http://www.shinhwatp.com,경기도,신화실업,C,제조업
1차철강제조업,대동스틸,48470,"열연박판,후판,무늬강판외",2002-01-10,12월,임형기임주희(각자대표이사),http://WWW.DAEDONGSTEEL.CO.KR,인천광역시,대동스틸,C,제조업
1차철강제조업,한국철강,104700,철근.단조강.파이프,2008-09-29,12월,"문종인,이수하(각자대표)",http://www.kisco.co.kr,경상남도,한국철강,C,제조업
1차철강제조업,디씨엠,24090,"PCM(칼라강판),라미네이트강판,산업용필름제조,판매",1999-08-18,12월,정연택,http://www.dcmcorp.co.kr,경상남도,디씨엠,C,제조업
1차철강제조업,포스코강판,58430,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판가공,제조,도매",2002-08-16,12월,하대용,http://www.poscocnc.com,경상북도,포스코강판,C,제조업
1차철강제조업,동일철강,23790,찬넬,1994-11-07,12월,장인화,http://www.dongilsteel.com,부산광역시,동일철강,C,제조업
1차철강제조업,(주)포스코엠텍,9520,철강포장용역및Al탈산제생산,1997-11-10,12월,이희명,http://www.poscomtech.com,경상북도,포스코엠텍,C,제조업
1차철강제조업,대창스틸,140520,"냉연강판,이중바닥재",2014-12-05,12월,"문창복,문경석",http://www.dcsteel.com,인천광역시,대창스틸,C,제조업
1차철강제조업,NI스틸,8260,"스틸파이프,철강재임가공제조,도매",1975-06-28,12월,배종민,http://www.hcr4u.com,서울특별시,NI스틸,C,제조업
1차철강제조업,SIMPACMetal,90730,합금철,2008-10-17,12월,"최진식,송효석",http://www.simpacmetal.com,경상북도,SIMPACMetal,C,제조업
1차철강제조업,DSR제강,69730,"와이어로프,각종경강선,철선제품,PC강선,아연도강연선제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도,DSR제강,C,제조업
1차철강제조업,제일제강공업,23440,"연강선재,경강선재,CHQ외",1994-10-07,12월,김홍택,http://www.jeilsteel.co.kr,경기도,제일제강,C,제조업
1차철강제조업,대양금속,9190,스테인레스냉연강판제조,1994-04-29,12월,송윤순,http://www.daiyangmetal.co.kr,충청남도,대양금속,C,제조업
1차철강제조업,대주이엔티,114920,"이중보온관,엘리베이터가이드레일",2013-07-01,12월,황광수,http://www.daejooent.co.kr,인천광역시,대주이엔티,C,제조업
1차철강제조업,한국선재,25550,철강선재류,1995-06-19,12월,이명호(각자대표)이제훈(각자대표),http://www.ehansun.co.kr,부산광역시,한국선재,C,제조업
1차철강제조업,영흥철강,12160,와이어로프등,2010-01-25,12월,"한재열,최영민(각자대표이사)",,충청남도,영흥철강,C,제조업
1차철강제조업,성광벤드,14620,관이음쇠,2001-01-11,12월,안재일,http://www.skbend.com,부산광역시,성광벤드,C,제조업
1차철강제조업,한국특수형강,7280,"철강압연제품(앵글,이형형강,평철,환봉)제조,판매",1989-11-13,12월,-,http://www.ekosco.com,부산광역시,한국특수형강,C,제조업
1차철강제조업,세아베스틸,1430,"특수강,철도용품,자동차부품제조,수출입",1991-03-12,12월,"윤기수,이태성",http://www.seahbesteel.co.kr,서울특별시,세아베스틸,C,제조업
1차철강제조업,동국산업,5160,"철강무역,강판제품제조",1999-06-25,12월,"장세희,안상철",http://www.dkis.co.kr,서울특별시,동국산업,C,제조업
1차철강제조업,쎄니트,37760,스테인레스냉연강판,2000-04-07,12월,"최재관,박승배(각자대표)",http://www.cenit.kr,경상남도,쎄니트,C,제조업
1차철강제조업,동양에스텍,60380,"열연박판,열연후판,무늬강판",2002-02-05,12월,조남욱,http://www.dystec.co.kr,대전광역시,동양에스텍,C,제조업
가구제조업,현대리바트,79430,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구제조",2005-11-22,12월,김화응,http://www.hyundailivart.co.kr,경기도,현대리바트,C,제조업
가구제조업,코아스,71950,"사무용가구,금속가구도매,제조",2005-08-04,12월,노재근,http://www.ikoas.com,서울특별시,코아스,C,제조업
가구제조업,시디즈,134790,의자,2011-01-25,12월,대표이사손태일,http://www.sidiz.com,경기도,시디즈,C,제조업
가구제조업,에넥스,11090,"씽크상판,주방기기,목재케비넷,유해가스저감장치시설제조,판매",1995-07-08,12월,"박유재,박진규",http://www.enex.co.kr,서울특별시,에넥스,C,제조업
가구제조업,퍼시스,16800,"사무용가구,의자,책상,캐비넷제조",1996-12-24,12월,대표이사이종태대표이사배상돈,http://www.fursys.co.kr,서울특별시,퍼시스,C,제조업
가구제조업,듀오백,73190,사무용및가정용의자,2004-02-06,12월,정관영,http://duoback.co.kr,인천광역시,듀오백,C,제조업
가구제조업,에이스침대,3800,침대,1996-05-03,12월,안성호,http://www.acebed.co.kr,경기도,에이스침대,C,제조업
가전제품및정보통신장비소매업,롯데하이마트,71840,"가전제품,잡화도소매/부동산임대",2011-06-29,12월,이동우,http://www.himart.co.kr,서울특별시,롯데하이마트,G,도매 및 소매업
가정용기기제조업,자이글,234920,적외선가열조리기,2016-09-06,12월,이진희,http://www.zaigle.com,서울특별시,자이글,C,제조업
가정용기기제조업,쿠첸,225650,전기밥솥,2015-09-04,12월,"이대희,이재성",http://www.cuchen.com,서울특별시,쿠첸,C,제조업
가정용기기제조업,위닉스,44340,일반목적용기계제조업,2000-10-24,12월,"윤희종,윤철민",http://www.e-winix.co.kr,경기도,위닉스,C,제조업
가정용기기제조업,경동나비엔,9450,"가정용기름보일러,입형,횡형온수보일러,가스보일러,버너,흡수식냉온수기,전기보일러,진공온수보일러,태양열보일러제조,판매",1993-08-31,12월,손연호,http://www.kdnavien.co.kr,경기도,경동나비엔,C,제조업
가정용기기제조업,쿠쿠홀딩스,192400,주방용전기기기제조업,2014-08-06,12월,구본학,http://www.cuckoo.co.kr,경상남도,쿠쿠홀딩스,C,제조업
가정용기기제조업,신성델타테크,65350,"세탁기,자동차,에어컨및LCD부품",2004-08-06,12월,"구자천,김호경(각자대표이사)",http://www.ssdelta.co.kr,경상남도,신성델타테크,C,제조업
가정용기기제조업,파세코,37070,"석유스토브,식기건조기,식기세척기",2000-01-04,12월,유일한,http://www.paseco.co.kr,경기도,파세코,C,제조업
가정용기기제조업,에브리봇,270660,물걸레로봇청소기,2017-07-24,12월,정우철,http://www.everybot.co.kr,경기도,에브리봇,C,제조업
가정용기기제조업,하츠,66130,"레인지후드,빌트인기기등",2003-02-11,12월,김성식,http://www.haatz.co.kr,경기도,하츠,C,제조업
가정용기기제조업,에스씨디,42110,전자렌지용MOTOR및냉장고용TIMER,2000-07-13,12월,오길호,http://www.sscd.co.kr,경기도,에스씨디,C,제조업
가정용기기제조업,대유위니아,71460,"김치냉장고(스탠드형,뚜껑형),에어컨,프리미엄냉장고등",2016-07-14,12월,김재현,http://www.dayou-winia.com,광주광역시,대유위니아,C,제조업
"가죽,가방및유사제품제조업",유니켐,11330,"피혁제조,도매,무역,부동산임대",1989-12-14,12월,이장원,http://www.uni-chem.net,경기도,유니켐,C,제조업
"가죽,가방및유사제품제조업",삼양통상,2170,"피혁원단,혁제운동화,혁제장갑,혁제스포츠용품제조,상품중개,무역",1989-11-10,12월,허남각,http://www.samyangts.com,서울특별시,삼양통상,C,제조업
"가죽,가방및유사제품제조업",제이에스코퍼레이션,194370,핸드백및지갑,2016-02-04,12월,홍재성,http://www.jskor.com,서울특별시,제이에스코퍼레이션,C,제조업
"가죽,가방및유사제품제조업",주노콜렉션,221670,"핸드백,지갑등",2017-06-27,12월,김용,http://www.laorh.com,경기도,주노콜렉션,C,제조업
"가죽,가방및유사제품제조업",조광피혁,4700,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발제조,도매",1977-05-27,12월,강광석,http://www.chokwang.co.kr,충청북도,조광피혁,C,제조업
개인및가정용품임대업,쿠쿠홈시스,284740,"정수기,공기청정기등",2018-01-11,12월,구본학,"http://www,cuckoo.co.kr",경기도,쿠쿠홈시스,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
건물건설업,동원개발,13120,도급공사,1994-12-29,12월,장복만,http://www.dongwonapt.co.kr,부산광역시,동원개발,F,건설업
건물건설업,두산건설,11160,"토목건축,화학기계,전동기,발전기및전기변환장치,레미콘",1996-01-30,12월,"이병화,곽승환(각자대표이사)",http://www.doosanenc.com,서울특별시,두산건설,F,건설업
