stock_code,company_eng,codename
53690,한미글로벌,"전문, 과학 및 기술 서비스업"
22100,포스코ICT,"전문, 과학 및 기술 서비스업"
37350,성도이엔지,"전문, 과학 및 기술 서비스업"
2150,도화엔지니어링,"전문, 과학 및 기술 서비스업"
23350,한국종합기술,"전문, 과학 및 기술 서비스업"
37440,희림,"전문, 과학 및 기술 서비스업"
52690,한전기술,"전문, 과학 및 기술 서비스업"
54930,유신,"전문, 과학 및 기술 서비스업"
7110,일신석재,도매 및 소매업
12750,에스원,"사업시설 관리, 사업 지원 및 임대 서비스업"
163560,동일고무벨트,제조업
41930,동아화성,제조업
2350,넥센타이어,제조업
282690,동아타이어,제조업
73240,금호타이어,제조업
44480,바이오제네틱스,제조업
161390,한국타이어,제조업
65690,대진디엠피,제조업
236030,씨알푸드,제조업
2680,한탑,제조업
1130,대한제분,제조업
6980,우성사료,제조업
36580,팜스코,제조업
8040,사조동아원,제조업
1790,대한제당,제조업
2140,고려산업,제조업
2200,한국수출포장공업,제조업
14970,삼륭물산,제조업
16590,신대양제지,제조업
37230,한국팩키지,제조업
2310,아세아제지,제조업
11280,태림포장,제조업
109070,컨버즈,제조업
14160,대영포장,제조업
6740,영풍제지,제조업
5670,푸드웰,제조업
43710,서울리거,"전문, 과학 및 기술 서비스업"
89600,나스미디어,"전문, 과학 및 기술 서비스업"
30000,제일기획,"전문, 과학 및 기술 서비스업"
10470,오리콤,"전문, 과학 및 기술 서비스업"
214320,이노션,"전문, 과학 및 기술 서비스업"
230360,에코마케팅,"전문, 과학 및 기술 서비스업"
123570,이엠넷,"전문, 과학 및 기술 서비스업"
216050,인크로스,"전문, 과학 및 기술 서비스업"
57030,와이비엠넷,교육 서비스업
208890,에듀파트너,교육 서비스업
101670,코리아에스이,제조업
69140,누리플랜,제조업
147830,제룡산업,제조업
8470,부스타,제조업
96350,대창솔루션,제조업
109610,에스와이패널,제조업
17960,한국카본,제조업
18310,삼목에스폼,제조업
54540,삼영엠텍,제조업
112610,씨에스윈드,제조업
91090,세원셀론텍,제조업
85310,엔케이,제조업
100130,동국S&C,제조업
258610,이더블유케이,제조업
192390,윈하이텍,제조업
90410,덕신하우징,제조업
114190,웰크론강원,제조업
38010,제일테크노스,제조업
6910,보성파워텍,제조업
58730,다스코,제조업
26040,제이에스티나,제조업
21240,코웨이,"협회 및 단체, 수리 및 기타 개인 서비스업"
123750,알톤스포츠,제조업
40,KR모터스,제조업
220110,드림티엔터테인먼트,"전문, 과학 및 기술 서비스업"
38290,마크로젠,"전문, 과학 및 기술 서비스업"
238500,로보쓰리,"전문, 과학 및 기술 서비스업"
45970,코아시아홀딩스,"전문, 과학 및 기술 서비스업"
144510,녹십자랩셀,"전문, 과학 및 기술 서비스업"
200470,하이셈,"전문, 과학 및 기술 서비스업"
131970,테스나,"전문, 과학 및 기술 서비스업"
119830,아이텍반도체,"전문, 과학 및 기술 서비스업"
263920,에스엔피월드,제조업
54630,에이디칩스,제조업
